pdf_url,course_code,course_name,semester
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0092-modelagem-e-controle-de-robos-moveis.pdf,TI0092,Modelagem e Controle de Robôs Móveis,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0093-aquisicoes-de-biossinais.pdf,TI0093,Aquisições de Biossinais,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0097-introducao-ao-reconhecimento-de-padroes.pdf,TI0097,Introdução ao Reconhecimento de Padrões,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0099-redes-industriais.pdf,TI0099,Redes Industriais,0
https://drive.google.com/uc?export=download&id=1YvDlrOz8ye-hQ8j3a5G4seoTAy2uLzEo,TI0112,Processos Estocásticos,0
https://drive.google.com/uc?export=download&id=1mg05oOlH2VAlg4XhPxMKMA2cRJfgoiLl,TI0119,Processamento Digital de Sinais,0
https://drive.google.com/uc?export=download&id=1BYYMYFIHlXWirD02dHnFPniFHTwZeWWO,TI0120,Princípios de Comunicações,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0154-introducao-aos-circuitos-integrados.pdf,TI0154,Introdução aos Circuitos Integrados,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0155-redes-de-computadores-ii.pdf,TI0155,Redes de Computadores II,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0156-engenharia-de-software-ii.pdf,TI0156,Engenharia de Software II,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0157-computacao-movel.pdf,TI0157,Computação Móvel,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0158-sistemas-eletronicos-digitais-reconfiguraveis.pdf,TI0158,Sistemas Eletrônicos Digitais Reconfiguráveis,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0158-sistemas-eletronicos-digitais-reconfiguraveis.pdf,TI0158,Sistemas Eletrônicos Digitais Reconfiguráveis,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0159-analise-de-desempenho-de-redes-e-sistamas-de-computacao.pdf,TI0159,Análise de Desempenho de Redes e Sistemas de Computação,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/tl0001-projeto-de-integracao-academica-e-tecnologica.pdf,TL0001,Projeto de Integração Acadêmica e Tecnológica,0
https://engcomp.ufc.br/wp-content/uploads/2020/08/tl0002-tecnologia-e-sociedade.pdf,TL0002,Tecnologia e Sociedade,0
https://drive.google.com/uc?export=download&id=1NvtzdnWLxNRleoVaPOn_JuRklPzVNITg,T0162,Internet das Coisas,0
